,compound,date,negative,neutral,positive,tn,tweet,user
91,-0.7579,Sat Mar 24 19:40:04 +0000 2018,0.394,0.606,0.0,91,These grandmothers in Texas have had enough of gun violence https://t.co/6u7JSeRtFn https://t.co/FiwF9BvIsS,@CNN
92,-0.3182,Sat Mar 24 19:33:03 +0000 2018,0.099,0.901,0.0,92,This 6-year-old is marching in London today carrying a sign with the names of the victims of the 2012 Sandy Hook ma… https://t.co/JzyXgOHDkT,@CNN
93,-0.34,Sat Mar 24 19:26:03 +0000 2018,0.13,0.87,0.0,93,These politicians have weighed in on March for Our Lives rallies calling for stricter gun control… https://t.co/WDopvkFLH0,@CNN
94,0.0258,Sat Mar 24 19:19:00 +0000 2018,0.105,0.786,0.109,94,"At the March for Our Lives rally in Washington, Florida school survivor Emma Gonzalez weeps quietly for the majorit… https://t.co/eYtm2kTleE",@CNN
95,0.0,Sat Mar 24 19:12:03 +0000 2018,0.0,1.0,0.0,95,"There's a large sign outside the capitol in Minnesota that says ""ENOUGH"" — one of the catchwords for those rallying… https://t.co/a0L6fBY1aM",@CNN
96,0.25,Sat Mar 24 19:05:19 +0000 2018,0.0,0.905,0.095,96,"""I have a dream that enough is enough. And that this should be a gun-free world. Period."" - Martin Luther King Jr.'… https://t.co/ZCbCc1csZM",@CNN
97,0.3612,Sat Mar 24 18:58:44 +0000 2018,0.0,0.878,0.122,97,"""Stand for us or beware — the voters are coming."" Florida school shooting survivor Cameron Kasky gives an impassion… https://t.co/3LClliCYd1",@CNN
98,0.0,Sat Mar 24 18:51:07 +0000 2018,0.0,1.0,0.0,98,"""Keep at it. You're leading us forward. Nothing can stand in the way of millions of voices calling for change."" For… https://t.co/NFiRsDTQhG",@CNN
99,0.0,Sat Mar 24 18:44:06 +0000 2018,0.0,1.0,0.0,99,Here's why some of the March for Our Lives demonstrators are wearing $1.05 price tags https://t.co/iMH5IYTu2Z https://t.co/aJFIQsY2Gq,@CNN
100,0.0,Sun Mar 25 21:30:11 +0000 2018,0.0,1.0,0.0,100,A conservative media executive who is close with President Trump said the President told him Saturday he expects mo… https://t.co/syUiXUZP4i,@CNN
101,-0.0997,Sun Mar 25 21:15:04 +0000 2018,0.109,0.805,0.086,101,President Trump's attorney says husband-and-wife legal team Joseph diGenova and Victoria Toensing won't join legal… https://t.co/fTlnDqJ4Bf,@CNN
102,0.0,Sun Mar 25 21:03:28 +0000 2018,0.0,1.0,0.0,102,"Everything you need to know ahead of Stormy Daniels' ""60 Minutes"" interview https://t.co/9goGs0LO3J https://t.co/xJ0RDRT1GW",@CNN
103,0.4767,Sun Mar 25 20:45:06 +0000 2018,0.0,0.78,0.22,103,Monégasque racing driver Charles Leclerc impresses on debut in Australia https://t.co/lR1qvWSlYn https://t.co/KmYSAA2JVX,@CNN
104,-0.6124,Sun Mar 25 20:30:04 +0000 2018,0.294,0.706,0.0,104,Wisconsin students take gun reform fight to House Speaker Paul Ryan's hometown https://t.co/jpKPV0Lm5p https://t.co/wsP3WVHlcH,@CNN
105,0.1901,Sun Mar 25 20:15:19 +0000 2018,0.0,0.907,0.093,105,"Renaissance popes like Rodrigo Borgia made incredible cultural advancements, but at what cost? The price of progres… https://t.co/GnxJ683r5B",@CNN
106,-0.4404,Sun Mar 25 20:00:07 +0000 2018,0.244,0.756,0.0,106,The key players in the Stormy Daniels scandal https://t.co/4k8CTDlFVi https://t.co/gOFDXmglmx,@CNN
107,0.0,Sun Mar 25 19:45:03 +0000 2018,0.0,1.0,0.0,107,What happens when the world's two biggest economies turn on each other https://t.co/kGu99fYZvv https://t.co/JgzxQmVohv,@CNN
108,-0.4404,Sun Mar 25 19:30:07 +0000 2018,0.266,0.734,0.0,108,Cabinet wives swept up in secretaries' woes https://t.co/gRHqqfoIly https://t.co/zlGvUYxnQS,@CNN
109,0.5994,Sun Mar 25 19:15:05 +0000 2018,0.0,0.776,0.224,109,"Mark Warner, the top Democrat on the Senate Intelligence Committee, says Mark Zuckerberg needs to testify about Fac… https://t.co/QZBstaZDg1",@CNN
110,0.4404,Sun Mar 25 19:15:00 +0000 2018,0.0,0.884,0.116,110,"""I hope. ... they know that there is light at the end of the tunnel.""

CNN's Ed Lavandera followed a group of survi… https://t.co/OOo7eRjDKZ",@CNN
111,0.0,Sun Mar 25 19:01:24 +0000 2018,0.0,1.0,0.0,111,"Ohio Gov. John Kasich says politicians ""should be held absolutely accountable at the ballot box"" for their inaction… https://t.co/KHTlD7iUuh",@CNN
112,0.5106,Sun Mar 25 18:45:48 +0000 2018,0.0,0.845,0.155,112,"A driver's dramatic rescue from his SUV was caught on camera as floodwaters came rushing through Santa Clarita, Cal… https://t.co/vP9wOndR4x",@CNN
113,0.7469,Sun Mar 25 18:30:10 +0000 2018,0.0,0.586,0.414,113,The marching students wowed this security mom https://t.co/nRBizoN4s5 | via @CNNOpinion https://t.co/OVjQzh5nq9,@CNN
114,-0.4939,Sun Mar 25 18:15:53 +0000 2018,0.225,0.775,0.0,114,Why the Stormy Daniels interview should scare Republicans https://t.co/z6li30k8qv | via @CNNOpinion https://t.co/tIcn4gfX6Q,@CNN
115,0.0,Sun Mar 25 18:00:07 +0000 2018,0.0,1.0,0.0,115,"A day after March for Our Lives, the Pope urges youth to speak out https://t.co/MZxgyIY78e https://t.co/ntsRpwZN3L",@CNN
116,-0.5267,Sun Mar 25 17:46:03 +0000 2018,0.167,0.833,0.0,116,"""(President Trump) is either lying or he is completely delusional."" Democratic Sen. Tim Kaine says Trump's blaming… https://t.co/faQhA18ng9",@CNN
117,0.8402,Sun Mar 25 17:30:10 +0000 2018,0.0,0.63,0.37,117,"""If keeping our children's safe was truly Trump's 'top priority,' why did he play golf instead of attend the March… https://t.co/wt25Y1iJoZ",@CNN
118,-0.1027,Sun Mar 25 17:15:14 +0000 2018,0.08,0.92,0.0,118,"What we know about Emma Gonzalez, the fiercely outspoken teen who stunned America with her silence… https://t.co/KqUj4NlgjT",@CNN
119,0.0,Sun Mar 25 17:00:08 +0000 2018,0.0,1.0,0.0,119,"Ohio Gov. John Kasich says politicians ""should be held absolutely accountable at the ballot box""… https://t.co/543rARLzMr",@CNN
120,-0.34,Sun Mar 25 16:45:23 +0000 2018,0.118,0.882,0.0,120,"Russia in the headlines, and a tense meeting between world leaders about nuclear disarmament. Are the events of 196… https://t.co/PT4S6W2dmN",@CNN
121,0.0,Sun Mar 25 16:31:03 +0000 2018,0.0,1.0,0.0,121,"The Austin bomber called himself a ""psychopath"" in his confession video https://t.co/7h52eBFkiP https://t.co/umrIxGQrnh",@CNN
122,0.0,Sun Mar 25 16:24:06 +0000 2018,0.0,1.0,0.0,122,"Former Brexit volunteer alleges campaign ""cheated"" https://t.co/fCxTXOTDNK https://t.co/60a1wBlFba",@CNN
123,0.5719,Sun Mar 25 16:00:24 +0000 2018,0.0,0.821,0.179,123,A new heroine is flying alongside Wonder Woman and Superman to pull Puerto Rico through hurricane Maria's aftermath… https://t.co/w4mdgO6vMm,@CNN
124,-0.6597,Sun Mar 25 15:30:07 +0000 2018,0.239,0.761,0.0,124,A former cancer patient is now a doctor at the hospital that helped her survive https://t.co/QpZ6HqzylV https://t.co/xWPV9fs5Vz,@CNN
125,0.2846,Sun Mar 25 15:01:34 +0000 2018,0.15,0.634,0.216,125,These New York police officers were outnumbered in this adorable snowball fight https://t.co/heByQBkT9a,@CNN
126,0.0,Sun Mar 25 14:30:12 +0000 2018,0.0,1.0,0.0,126,"There has been, on average, 1 school shooting every week this year https://t.co/WOw2gtl9hc https://t.co/CU9U4yCMhP",@CNN
127,0.2755,Sun Mar 25 14:00:00 +0000 2018,0.0,0.905,0.095,127,This robotic fish is designed to swim near real aquatic creatures and spy on them without raising suspicions or dis… https://t.co/RNhdKMTc4A,@CNN
128,-0.2732,Sun Mar 25 13:30:11 +0000 2018,0.084,0.916,0.0,128,About half of all plants and animals in 35 of the world's most biodiverse places are at risk of extinction due to c… https://t.co/eZuNKpx4rK,@CNN
129,0.0,Sun Mar 25 13:29:37 +0000 2018,0.0,1.0,0.0,129,Ohio Gov. John Kasich on former California Gov. Arnold Schwarzenegger calling for him to run for president in 2020:… https://t.co/UTWxFZYmcM,@CNN
130,0.34,Sun Mar 25 13:26:57 +0000 2018,0.0,0.876,0.124,130,"Ohio Gov. John Kasich says incoming national security adviser John Bolton should understand that ""America ""cannot b… https://t.co/KDokXGRpna",@CNN
131,-0.2263,Sun Mar 25 13:26:14 +0000 2018,0.083,0.917,0.0,131,"Ohio Gov. John Kasich on the March For Our Lives protests: “If they do not bring about change, I think people shoul… https://t.co/OILRSi8KRs",@CNN
