compound_sent,date,news_outlet,tweet,seconds ago
-0.5267,Mon Mar 26 04:08:34 +0000 2018,@FoxNews,@FoxNews @cameron_kasky It Amit no weapon get real.,61260
0.4404,Mon Mar 26 04:08:34 +0000 2018,@CNN,"@CNN In otherwords, they’re sticking it to Mike Pence. Good for FedEx.",61260
0.0,Mon Mar 26 04:08:31 +0000 2018,@CNN,RT @jillicaz: @CNN This breaks my heart. RIP Stephon Clark.,61263
-0.6486,Mon Mar 26 04:08:31 +0000 2018,@FoxNews,RT @FoxNews: Bodies of Iowa family found dead in Mexico to return to US this week https://t.co/TjC29v5yJr,61263
-0.1531,Mon Mar 26 04:08:31 +0000 2018,@FoxNews,"RT @FoxNews: .@DevinNunes: ""We also found no collusion between the Trump campaign but we did find links between the Clinton [campaign] and…",61263
-0.5574,Mon Mar 26 04:08:31 +0000 2018,@FoxNews,@DianeBlackTN @HARRISFAULKNER @FoxNews Why doesn't Congress #FullyFundIDEA? Parents are forced into lawsuits to pro… https://t.co/RVwqHkLPAX,61263
-0.3412,Mon Mar 26 04:08:30 +0000 2018,@CNN,"RT @Ohio_Buckeye_US: @MrEdTrain @andersoncooper @60Minutes @CBSNews @CNN #StormyDaniels, said in @60Minutes ""not looking 4 fame or money"",…",61264
-0.3412,Mon Mar 26 04:08:30 +0000 2018,@CNN,"RT @Ohio_Buckeye_US: @MrEdTrain @andersoncooper @60Minutes @CBSNews @CNN #StormyDaniels, said in @60Minutes ""not looking 4 fame or money"",…",61264
-0.3412,Mon Mar 26 04:08:30 +0000 2018,@CBSNews,"RT @Ohio_Buckeye_US: @MrEdTrain @andersoncooper @60Minutes @CBSNews @CNN #StormyDaniels, said in @60Minutes ""not looking 4 fame or money"",…",61264
0.0,Mon Mar 26 04:08:29 +0000 2018,@FoxNews,@DouglasFAllen2 @realDonaldTrump @FoxNews Because there are real numbers. It wasn’t even close to the highest watch… https://t.co/yQ1GtuTxsP,61265
0.0,Mon Mar 26 04:08:29 +0000 2018,@FoxNews,@DouglasFAllen2 @realDonaldTrump @FoxNews Because there are real numbers. It wasn’t even close to the highest watch… https://t.co/yQ1GtuTxsP,61265
-0.4767,Mon Mar 26 04:08:28 +0000 2018,@FoxNews,@FoxNews Paul Ryan is a paid pawn &amp; tool for the Washington establishment. He represents all that is  wrong in Wash… https://t.co/rPVXhxF9dc,61266
-0.5256,Mon Mar 26 04:08:28 +0000 2018,@CNN,@CNN So wrong.,61266
0.0,Mon Mar 26 04:08:28 +0000 2018,@CNN,RT @RealCandaceO: Anderson Cooper really spent 60 minutes with a porn star discussing whether or not she had consensual sex 15 years ago an…,61266
-0.5859,Mon Mar 26 04:08:27 +0000 2018,@CNN,"RT @pdog_ch: @CNN They knew from the beginning he didn’t have a gun, they know they never saw a gun. They was just assuming they would find…",61267
-0.5848,Mon Mar 26 04:08:26 +0000 2018,@FoxNews,@mauricioalejo @MachiFREEMAN @FoxNews People trying to do me harm!,61268
0.0,Mon Mar 26 04:08:26 +0000 2018,@FoxNews,"RT @FoxNews: .@hogangidley45 on omnibus bill: ""They weren't building new equipment under @BarackObama, they were rebuilding and fixing old…",61268
0.2732,Mon Mar 26 04:08:25 +0000 2018,@FoxNews,"@groovykat6 @PrincipalDelta @kylegriffin1 @InSpiteOfTrump @FoxNews Well, a discussion does not change facts. Its cl… https://t.co/ixLLUh7ZGL",61269
0.0,Mon Mar 26 04:08:25 +0000 2018,@FoxNews,"@Confusedvoter1 @libertyorklepto @FoxNews @cameron_kasky @NBCNews (The ""his own phone survey"" data are not CDC data… https://t.co/0VyyQOgQZP",61269
0.0,Mon Mar 26 04:08:24 +0000 2018,@FoxNews,"RT @FoxNews: 'I Went Through Hell': Former FBI Agent Says Andrew McCabe 'Targeted', 'Slandered' Her
https://t.co/Sf05PC158b",61270
0.0,Mon Mar 26 04:08:23 +0000 2018,@BBCWorld,"@HadramiDouani @BBCWorld On the contrary, Not only the world can not bring Yemen to its knees, With lifting of supp… https://t.co/PqyKe6I4BN",61271
0.4019,Mon Mar 26 04:08:23 +0000 2018,@CNN,"RT @InnerSciencesUS: @CNN Current icons in the Democratic Party:

-David Hogg (17 year old)
-Hillary Clinton (professional loser)
-Jimmy Ki…",61271
-0.4939,Mon Mar 26 04:08:23 +0000 2018,@FoxNews,RT @KyleKashuv: .@davidhogg111 has a tendency to contradict himself and not know basic facts. He then confronts @FOXNews and yells at them…,61271
0.6249,Mon Mar 26 04:08:22 +0000 2018,@nytimes,"RT @nytimes: Floating between California and Hawaii, the ""Great Pacific Garbage Patch"" is up to 16 times bigger than previously thought and…",61272
0.0,Mon Mar 26 04:08:22 +0000 2018,@FoxNews,"@mhelal2 @coachbelliott @FoxNews You talking about Clinton, JFK, or FDR?",61272
0.0,Mon Mar 26 04:08:22 +0000 2018,@CNN,"RT @CovfefeLadyC: The question is.
When doesn't @AndersonCoooer @CNN not lie????

#FakeNews @CNN is the lyingist network on #MSM. https://t…",61272
0.4019,Mon Mar 26 04:08:22 +0000 2018,@CNN,"RT @InnerSciencesUS: @CNN Current icons in the Democratic Party:

-David Hogg (17 year old)
-Hillary Clinton (professional loser)
-Jimmy Ki…",61272
-0.34,Mon Mar 26 04:08:21 +0000 2018,@FoxNews,@KayaJones @WattersWorld @JesseBWatters @FoxNews Gun up Kaya ........honestly DID not know you were a former pussy… https://t.co/Vh7isxnYwL,61273
0.5994,Mon Mar 26 04:08:21 +0000 2018,@CNN,"@CNN @RickSantorum Do you know how big an asshole you are, trying to put down these magnificent children?",61273
0.6249,Mon Mar 26 04:08:20 +0000 2018,@nytimes,"RT @nytimes: Floating between California and Hawaii, the ""Great Pacific Garbage Patch"" is up to 16 times bigger than previously thought and…",61274
0.0,Mon Mar 26 04:08:20 +0000 2018,@CBSNews,"RT @BettyBowers: Stormy Daniels to @CBSNews: ""I really don't need sixty minutes to talk about something that didn't last one."" #StormyDanie…",61274
0.0,Mon Mar 26 04:08:20 +0000 2018,@CBSNews,"RT @BettyBowers: Stormy Daniels to @CBSNews: ""I really don't need sixty minutes to talk about something that didn't last one."" #StormyDanie…",61274
0.0,Mon Mar 26 04:08:19 +0000 2018,@BBCWorld,@BBCWorld Fucking discussing.,61275
-0.6229,Mon Mar 26 04:08:19 +0000 2018,@CNN,@CNN @CNNOpinion She is 39? Get the fuck out! I thought  she was 50ish!,61275
-0.4939,Mon Mar 26 04:08:17 +0000 2018,@nytimes,RT @nytimes: Adult Film Star Says She Stayed Silent on Trump Out of Fear https://t.co/SoHTBxJuza,61277
0.0,Mon Mar 26 04:08:17 +0000 2018,@CNN,RT @OpTheResistance: @eloisapiloto @torrellasscott @pamelaval @fedxjetmech @USNJack @RightWingAngel @RedNationRising @RealMattCouch @hockyw…,61277
-0.4753,Mon Mar 26 04:08:12 +0000 2018,@CNN,@Jdub13406206 @buddy_faro @CNN to excuses? excuses waste time. time is a thing you never get back!,61282
-0.34,Mon Mar 26 04:08:12 +0000 2018,@CNN,"RT @CNN: Remington, the venerable gun maker, has filed for bankruptcy https://t.co/IMYTJCN7Lj https://t.co/lPb4pDFRAP",61282
-0.4404,Mon Mar 26 04:08:12 +0000 2018,@CNN,@jefftiedrich @tryinntryin Hey @CNNPolitics @CNN is there any reason you bring on @RickSantorum other than to annoy your viewers?,61282
-0.34,Mon Mar 26 04:08:11 +0000 2018,@nytimes,"RT @nytimes: ""We’re going to be the generation that takes down the gun lobby."" https://t.co/rn5c6E4iCH",61283
-0.3612,Mon Mar 26 04:08:11 +0000 2018,@CNN,@CNN Why do you constantly have these people on?  He’s ridiculous,61283
0.4404,Mon Mar 26 04:08:09 +0000 2018,@nytimes,"RT @nytimes: To many in Washington, Stephanie Clifford, better known as Stormy Daniels, has become an unexpected force. It is she, some now…",61285
0.4404,Mon Mar 26 04:08:09 +0000 2018,@nytimes,"RT @nytimes: To many in Washington, Stephanie Clifford, better known as Stormy Daniels, has become an unexpected force. It is she, some now…",61285
-0.6072,Mon Mar 26 04:08:07 +0000 2018,@CNN,@CNN @CNNOpinion Hey Anderson. Who did you bang 12 years ago? Two adults having consensual sex? Nobody gives a shit,61287
-0.2621,Mon Mar 26 04:08:06 +0000 2018,@CBSNews,@CBSNews @nowayhescrazy This is what teens look like in Alabama? Bloody hell..?!,61288
-0.7762,Mon Mar 26 04:08:05 +0000 2018,@CNN,@KerrsCL4PTP @CNN crooked cops need to be locked the hell up period that's why!!!!!!!!!,61289
0.6249,Mon Mar 26 04:08:05 +0000 2018,@nytimes,"RT @nytimes: Floating between California and Hawaii, the ""Great Pacific Garbage Patch"" is up to 16 times bigger than previously thought and…",61289
0.3612,Mon Mar 26 04:08:04 +0000 2018,@CNN,@DanteEsposito @MarkDice @dcwidney @CNN @CNNOpinion Doesn’t look like it at all.,61290
0.6249,Mon Mar 26 04:08:04 +0000 2018,@nytimes,"RT @nytimes: Floating between California and Hawaii, the ""Great Pacific Garbage Patch"" is up to 16 times bigger than previously thought and…",61290
0.7906,Mon Mar 26 04:08:01 +0000 2018,@nytimes,"@nytimes GREAT PRESIDENT, Maybe Mueller will HIRE THEM!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1",61293
-0.7845,Mon Mar 26 04:08:00 +0000 2018,@CNN,"RT @robotterror: Given the impact of Fake News on our society, can we NOT have Tech companies and Tech journals publish bullshit April Fool…",61294
0.0,Mon Mar 26 04:08:00 +0000 2018,@CNN,"@CNN Why is this happening a lot lately to tourists? Not only Mexico, other South American tourist destinations??!?!",61294
0.25,Mon Mar 26 04:08:00 +0000 2018,@CNN,"@NPR Trumps like to cheat on wives who just gave birth, with women who look like daughter/sister @IvankaTrump and G… https://t.co/9TPMyamfkS",61294
0.25,Mon Mar 26 04:08:00 +0000 2018,@CBSNews,"@NPR Trumps like to cheat on wives who just gave birth, with women who look like daughter/sister @IvankaTrump and G… https://t.co/9TPMyamfkS",61294
-0.7845,Mon Mar 26 04:08:00 +0000 2018,@nytimes,"RT @robotterror: Given the impact of Fake News on our society, can we NOT have Tech companies and Tech journals publish bullshit April Fool…",61294
0.0,Mon Mar 26 04:07:59 +0000 2018,@CNN,RT @RealCandaceO: Anderson Cooper really spent 60 minutes with a porn star discussing whether or not she had consensual sex 15 years ago an…,61295
0.0,Mon Mar 26 04:07:59 +0000 2018,@nytimes,@bhanderson91 @nytimes Oh I know...it still begs the question....why?,61295
0.0,Mon Mar 26 04:07:57 +0000 2018,@CBSNews,@realKupajo322 @CBSNews What do you do to stand up for single mothers? How do you advocate change? Who do you mento… https://t.co/8bxfKxPR1P,61297
0.0,Mon Mar 26 04:07:55 +0000 2018,@BBCWorld,RT @ArvindK49852923: #शिक्षामित्र#मिडिया से निवेदन है कि उत्तरप्रदेश के जिम्मेदार अफसर या राजनेता या किसी बुद्धिजीवी से ये पता करे कि rte ए…,61299
0.6249,Mon Mar 26 04:07:55 +0000 2018,@nytimes,"RT @nytimes: Floating between California and Hawaii, the ""Great Pacific Garbage Patch"" is up to 16 times bigger than previously thought and…",61299
-0.6705,Mon Mar 26 04:07:50 +0000 2018,@CBSNews,"RT @CBSNews: Stoneman Douglas student @Emma4Change reads the names of her fellow Parkland students who were killed in the Feb. 14 shooting,…",61304
0.6249,Mon Mar 26 04:07:50 +0000 2018,@nytimes,"RT @nytimes: Floating between California and Hawaii, the ""Great Pacific Garbage Patch"" is up to 16 times bigger than previously thought and…",61304
